,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
16.4,2.663,3.592,4.516,,3.663,4.435,5.185,,2.68,3.302,4.167
16.5,2.763,3.388,4.306,,3.46,4.394,5.921,,2.455,3.818,3.852
16.6,2.999,3.584,4.861,,3.04,3.94,6.564,,2.523,3.074,4.382
16.7,2.81,3.71,4.541,,3.99,4.422,5.022,,2.689,3.888,3.97
16.8,2.79,3.217,4.208,,3.852,4.191,5.158,,2.288,3.668,4.039
16.9,2.758,3.616,4.757,,4.081,4.378,4.751,,2.651,3.493,4.039
17,3.029,3.692,4.506,,3.289,4.161,4.545,,2.532,3.725,4.151
17.1,2.87,3.344,4.358,,3.579,4.185,5.767,,2.416,3.68,4.079
17.2,2.851,3.527,4.721,,3.646,4.184,5.861,,2.775,3.585,4.103
17.3,2.775,3.52,4.64,,4.539,4.297,6.076,,2.904,3.426,3.96
17.4,2.88,3.438,4.028,,4.027,4.176,5.957,,2.779,3.801,3.93
17.5,2.826,2.676,4.402,,4.786,3.987,5.173,,3.154,3.489,3.94
17.6,3.094,4.05,4.863,,4.232,4.245,5.888,,2.798,3.694,3.982
17.7,2.768,3.681,4.616,,4.405,4.247,5.243,,2.808,3.663,3.985
17.8,3.068,3.618,4.2,,4.984,4.513,6.156,,2.845,3.429,4.189
17.9,2.937,3.952,4.193,,3.996,4.125,5.722,,3.115,3.268,3.872
18,2.917,3.415,4.403,,3.425,4.283,5.71,,2.847,3.134,3.719
18.1,2.767,3.125,4.355,,3.862,4.327,6.523,,3.153,3.746,3.78
18.2,2.962,2.812,4.351,,4.113,4.325,5.628,,2.626,3.336,3.762
18.3,2.75,3.842,4.635,,4.227,4.075,6.001,,2.478,3.667,4.153
18.4,2.89,3.828,4.267,,4.239,4.037,6.067,,2.824,3.603,3.918
18.5,2.7,3.953,4.509,,4.798,4.318,6.061,,2.683,3.584,3.824
18.6,2.964,3.778,4.445,,4.379,4.054,5.5,,2.899,3.896,4.41
18.7,2.869,3.775,4.344,,4.044,4.518,6.193,,2.888,3.634,3.549
18.8,2.477,3.485,4.027,,4.159,4.186,6.312,,2.667,3.851,4.087
18.9,2.454,3.729,4.696,,4.202,4.364,6.018,,2.976,3.491,3.884
19,2.701,3.612,4.123,,4.807,4.087,5.939,,2.984,3.641,3.994
19.1,2.614,3.917,3.921,,5.166,4.32,6.464,,3.151,3.521,3.69
19.2,2.622,3.636,3.77,,4.333,4.333,6.161,,2.985,3.917,3.77
19.3,2.501,3.4,4.268,,4.516,4.351,5.896,,2.777,3.701,4.117
19.4,2.464,3.614,4.312,,4.355,4.159,6.318,,2.616,3.816,4.259
19.5,2.614,3.732,4.036,,4.861,4.121,6.119,,2.85,4.106,4.352
19.6,2.859,3.801,4.443,,4.922,4.25,6.439,,2.747,3.751,4.491
19.7,2.618,3.782,4.078,,4.699,4.026,6.331,,2.777,4.122,3.749
19.8,2.335,3.782,4.273,,4.243,4.206,6.448,,2.547,3.754,3.84
19.9,2.689,3.659,4.615,,4.581,4.13,6.319,,2.732,3.632,4.08
20,2.676,3.726,4.239,,4.927,4.472,5.734,,2.658,3.726,3.874
20.1,2.629,3.96,4.548,,4.299,4.252,5.882,,2.832,3.726,3.92
20.2,2.46,3.812,4.277,,4.56,4.266,5.941,,2.7,4.119,4.117
20.3,2.611,3.367,4.655,,3.945,4.292,5.553,,2.978,3.715,3.896
20.4,2.919,3.274,4.664,,5.392,4.262,6.387,,2.811,3.783,3.925
20.5,2.666,3.245,4.424,,4.384,4.338,5.969,,2.669,4.064,3.814
20.6,2.878,3.247,4.348,,4.674,4.474,5.701,,2.765,3.558,4.222
20.7,2.831,3.16,4.07,,5.265,4.358,5.92,,2.984,3.743,3.918
20.8,3.031,3.077,4.04,,5.056,4.419,6.006,,2.646,3.708,4.147
20.9,2.83,3.272,4.399,,4.795,4.42,5.126,,2.719,3.891,4.394
21,2.767,3.58,4.456,,4.005,4.24,5.27,,2.974,3.734,4.276
21.1,2.884,3.317,4.22,,4.661,4.188,5.316,,2.915,3.962,4.125
21.2,2.7,3.561,4.182,,4.644,4.387,5.332,,2.824,3.863,4.102
21.3,2.783,3.327,4.525,,4.522,4.074,5.273,,2.721,3.976,3.923
21.4,2.831,3.339,4.342,,4.794,4.085,5.994,,2.906,3.892,3.9
21.5,2.809,3.413,4.434,,4.412,3.918,6.006,,2.917,4.214,3.658
21.6,2.526,3.423,4.146,,5.364,4.214,5.839,,2.86,3.774,3.719
21.7,2.981,3.398,4.072,,4.36,3.993,5.745,,2.805,3.547,4.087
21.8,3.037,3.192,3.847,,4.745,3.948,5.65,,2.698,3.51,4.189
21.9,2.847,2.778,4.493,,4.574,4.025,5.67,,3.092,4.056,4
22,2.884,3.736,4.443,,4.461,4,6.328,,2.828,3.769,3.975
22.1,2.881,3.342,4.479,,3.542,3.977,6.228,,2.67,3.93,3.967
22.2,2.791,3.172,4.191,,3.918,4.82,6.302,,3.079,3.452,3.913
22.3,2.824,3.132,4.556,,3.978,4.607,6.357,,3.085,3.874,4.334
22.4,3.096,3.215,4.425,,3.887,4.539,6.198,,2.633,3.793,4.24
22.5,2.809,3.225,4.824,,3.698,4.211,6.34,,2.591,3.91,4.299
22.6,2.783,3.324,5.097,,3.796,3.78,5.887,,2.841,3.396,3.837
22.7,2.921,3.053,4.643,,3.994,3.931,6.227,,2.896,3.593,4.142
22.8,2.935,3.41,4.526,,4.56,3.969,6.063,,3.289,4.012,4.123
22.9,2.868,3.211,4.066,,3.505,4.399,6.241,,3.047,3.361,4.373
23,2.927,3.352,4.315,,4.033,4.016,6.664,,2.958,3.92,3.832
23.1,2.548,3.44,4.56,,3.851,4.03,6.588,,3.035,3.476,3.939
23.2,2.839,3.198,4.236,,4.402,4.227,6.767,,2.875,4.139,3.911
23.3,2.781,3.222,4.203,,4.281,3.762,6.902,,2.701,3.791,4.015
23.4,2.925,3.263,4.139,,4.28,3.444,6.218,,2.991,3.927,4.148
23.5,2.65,3.318,4.581,,4.613,3.351,6.646,,2.903,3.363,4.108
23.6,2.658,3.224,4.593,,4.484,3.963,6.188,,2.896,3.603,4.143
23.7,2.945,3.476,4.294,,4.116,4.301,5.975,,2.93,3.823,3.838
23.8,3.075,3.201,3.926,,4.029,4.331,5.933,,2.609,4.17,3.791
23.9,2.848,3.331,4.082,,4.104,4.317,6.457,,2.689,3.815,4.017
24,2.742,3.674,4.359,,4.153,4.534,6.513,,2.739,4.156,3.883
24.1,2.983,3.703,4.403,,4.579,4.533,6.512,,3.09,3.734,3.73
24.2,3.014,3.194,4.359,,4.411,4.21,5.972,,2.983,3.914,4.117
24.3,2.865,3.124,4.156,,4.477,3.892,5.986,,2.772,3.834,4.051
24.4,2.808,3.145,4.264,,4.456,4.429,5.941,,3.074,3.447,3.927
24.5,2.666,3.202,4.935,,4.302,4.444,6.25,,2.982,3.794,3.772
24.6,2.892,3.086,4.724,,4.111,4.038,6.711,,2.612,3.827,3.852
24.7,2.708,3.443,4.749,,4.271,4.114,6.282,,2.887,4.089,3.814
24.8,3.053,3.303,4.371,,4.465,4.083,6.291,,2.657,3.565,3.992
24.9,2.843,3.118,4.462,,4.471,4.13,6.226,,2.761,3.371,4.292
25,2.874,3.177,3.999,,4.262,3.998,6.716,,2.842,3.322,4.202
25.1,2.856,3.237,4.568,,4.586,4.325,6.464,,2.929,3.934,3.986
25.2,2.582,3.445,4.794,,4.167,4.425,6.437,,3.084,3.918,3.97
25.3,2.862,3.14,4.324,,4.399,4.348,6.654,,3.008,4.025,4.021
25.4,2.542,3.818,4.358,,4.434,4.73,5.763,,2.955,3.589,4.025
25.5,2.662,3.755,4.593,,4.752,4.841,6.119,,2.861,3.784,3.963
25.6,2.86,3.747,4.732,,4.219,5.169,6.339,,2.722,3.598,4.253
25.7,2.843,3.308,4.84,,4.218,5.02,5.618,,3.016,3.38,4.465
25.8,2.834,3.404,4.591,,4.51,5.145,6.115,,2.808,3.899,3.89
25.9,2.839,3.058,4.49,,4.665,5.211,6.565,,2.943,3.342,3.894
26,2.634,3.1,4.192,,4.197,4.915,6.448,,2.972,3.89,4.015
26.1,2.967,3.036,4.261,,4.356,4.839,6.501,,2.81,3.2,4.053
26.2,2.498,3.423,4.494,,3.973,5.203,7.007,,2.939,3.703,4.11
26.3,2.768,3.717,4.33,,4.091,4.904,6.402,,2.876,3.603,4.006
26.4,2.671,3.468,4.604,,4.028,5.356,6.087,,3.213,4.449,4.081
26.5,2.687,3.442,4.377,,4.255,5.155,6.711,,2.736,3.826,4.069
26.6,3.076,3.514,4.425,,4.498,5.038,6.173,,2.877,4.208,4.132
26.7,2.537,3.531,4.621,,4.055,5.415,5.97,,2.751,4.023,4.083
26.8,2.751,3.556,4.159,,4.347,5.159,6.063,,2.797,3.89,4.277
