,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,41,1821,3191,,41,1821,3191,,41,1821,3191
19.6,3.219,1.961,4.67,,8.709,7.117,2.703,,4.111,5.28,2.011
19.7,2.693,2.235,4.339,,8.466,7.343,3.053,,5.046,5.258,1.676
19.8,3.345,2.551,4.267,,8.05,7.006,3.073,,4.656,5.448,1.53
19.9,2.876,2.574,4.433,,7.865,7.159,3.036,,4.872,5.055,1.712
20,3.555,2.439,4.316,,8.235,6.932,3.408,,4.429,5.159,1.468
20.1,2.916,2.365,4.33,,8.818,6.797,3.059,,4.747,5.574,1.899
20.2,3.209,2.48,4.284,,8.458,7.124,3.165,,4.471,5.403,1.881
20.3,2.981,2.307,4.328,,8.635,7.025,2.974,,4.554,5.438,2.087
20.4,3.199,2.276,4.297,,8.975,7.148,2.711,,4.732,5.508,1.964
20.5,3.037,2.088,4.561,,8.23,6.779,2.983,,4.821,5.465,1.963
20.6,3.236,2.223,4.665,,8.438,6.687,2.753,,4.466,5.33,2.006
20.7,3.015,2.258,4.624,,8.527,7.12,2.812,,4.58,5.145,1.679
20.8,3.071,2.344,4.579,,8.104,6.619,3.039,,4.44,4.997,1.701
20.9,2.691,2.066,4.501,,8.561,7.167,2.528,,4.622,5.554,1.927
21,2.914,2.47,4.498,,8.186,6.738,2.745,,4.048,5.313,1.636
21.1,3.306,2.36,4.155,,8.175,6.847,2.818,,4.56,5.37,1.858
21.2,3.046,2.283,4.538,,8.383,6.761,3.005,,4.21,5.484,2.155
21.3,2.32,2.397,4.61,,8.592,6.462,3.352,,4.375,5.527,1.93
21.4,3.47,2.195,4.807,,8.564,6.666,3.182,,4.624,5.49,2.42
21.5,2.856,2.272,4.516,,8.946,6.385,3.315,,4.369,5.242,2.544
21.6,3.148,2.518,4.707,,8.782,6.539,3.971,,4.324,5.38,2.43
21.7,2.745,2.219,4.768,,8.858,6.853,3.524,,4.686,5.164,2.524
21.8,2.877,2.424,4.424,,8.314,6.751,3.677,,4.482,5.353,2.566
21.9,2.565,2.501,4.581,,8.861,6.624,3.413,,4.684,5.448,2.579
22,2.654,2.385,4.345,,8.724,6.784,3.402,,4.078,5.373,2.313
22.1,3.044,2.418,4.897,,8.56,6.678,3.031,,4.384,5.175,2.516
22.2,2.605,2.334,4.624,,8.529,6.76,2.786,,4.71,5.548,2.549
22.3,2.669,2.106,4.692,,7.945,7.453,2.987,,4.704,5.571,2.803
22.4,3.045,2.247,4.664,,9.244,7.018,2.74,,4.822,5.352,2.547
22.5,2.874,2.437,3.84,,8.567,6.888,3.33,,4.924,5.28,2.699
22.6,2.836,2.592,4.924,,8.451,6.894,3.532,,4.929,5.071,2.652
22.7,2.598,2.287,4.447,,9.33,7.214,3.38,,4.792,5.521,2.465
22.8,2.501,2.264,4.494,,8.437,6.896,3.294,,4.438,5.461,2.412
22.9,2.712,2.496,4.354,,8.757,6.982,3.674,,5.142,5.368,1.963
23,3.017,2.595,4.622,,8.706,6.882,3.398,,4.627,5.298,2.216
23.1,2.907,2.435,4.567,,8.855,6.733,3.434,,4.657,5.386,2.616
23.2,2.749,2.202,4.632,,8.748,6.606,3.194,,4.819,5.547,2.194
23.3,2.932,2.147,4.186,,8.964,6.945,3.617,,4.564,5.117,2.879
23.4,2.74,2.39,4.621,,8.717,6.609,4.002,,4.352,5.087,2.94
23.5,2.829,2.101,4.688,,8.772,6.895,3.53,,4.811,5.264,2.708
23.6,2.916,2.191,4.443,,8.393,6.804,3.397,,4.654,5.408,2.813
23.7,2.586,2.574,4.347,,8.669,6.68,4.007,,4.69,5.284,2.796
23.8,3.54,2.624,4.385,,8.261,6.645,4.379,,5.044,5.165,2.954
23.9,2.84,2.474,4.382,,8.233,6.659,4.416,,5.019,5.107,3.077
24,2.642,2.105,4.525,,9.187,6.718,4.044,,5.119,5.189,3.029
24.1,2.954,2.152,4.364,,8.342,6.758,2.783,,4.669,5.214,2.801
24.2,2.524,2.065,4.429,,8.957,6.802,3.741,,4.64,5.092,2.678
24.3,2.951,2.485,4.398,,8.689,6.776,3.732,,4.761,5.202,2.544
24.4,2.88,2.263,4.71,,9.002,7.1,3.655,,4.915,5.563,3.196
24.5,2.959,2.028,4.283,,8.757,6.922,2.992,,5.167,5.229,2.834
24.6,2.602,2.156,4.056,,9.027,6.814,3.161,,4.693,5.093,2.975
24.7,2.488,2.037,4.276,,8.736,6.724,3.333,,4.824,5.355,2.726
24.8,2.727,2.137,4.609,,8.109,7.166,3.338,,4.262,5.219,2.735
24.9,2.483,2.331,4.386,,8.046,7.011,3.335,,5.072,5.454,2.685
25,2.406,2.331,4.761,,8.478,6.746,3.492,,5.145,5.664,2.891
25.1,2.896,2.374,4.36,,8.172,6.939,3.759,,4.953,5.158,2.818
25.2,2.535,2.297,4.664,,8.259,6.599,3.445,,4.64,4.95,2.855
25.3,3.08,1.876,4.676,,7.909,6.71,3.361,,4.654,5.294,2.986
25.4,2.807,2.192,4.512,,8.309,7.081,3.572,,4.58,5.431,2.862
25.5,3.098,1.975,4.268,,8.153,6.961,3.642,,4.79,5.518,2.883
25.6,2.675,2.142,4.597,,8.089,6.555,4.108,,5.209,5.194,2.801
25.7,2.803,2.028,4.148,,7.895,6.879,3.484,,4.775,5.25,2.934
25.8,2.803,2.376,4.475,,8.3,6.808,3.603,,4.278,5.163,2.95
25.9,3.096,2.113,4.582,,8.777,7.177,3.587,,4.782,5.439,3.013
26,2.86,2.201,4.273,,8.491,7.494,4.005,,4.344,5.302,2.716
26.1,2.802,2.383,4.814,,8.614,7.231,3.657,,4.669,5.09,2.721
26.2,2.769,2.133,4.641,,8.625,6.859,3.871,,4.738,5.306,2.66
26.3,2.903,1.944,4.306,,9.099,6.619,3.855,,4.508,5.322,3.209
26.4,2.774,2.777,4.371,,8.607,7.151,3.583,,4.758,5.308,2.946
26.5,2.912,2.493,4.982,,8.159,6.605,3.197,,4.813,5.44,3.1
26.6,2.893,1.97,4.611,,8.364,6.922,3.844,,4.836,5.68,2.612
26.7,2.653,2.319,4.36,,8.53,6.667,3.85,,5.155,5.834,2.303
26.8,2.456,2.202,4.135,,8.589,7.03,3.536,,5.086,5.574,2.548
26.9,2.669,2.182,4.473,,8.44,7.378,4.003,,4.707,4.999,2.664
27,2.787,2.531,4.838,,8.721,7.218,3.555,,4.864,5.271,2.894
27.1,2.329,2.247,4.591,,8.763,7.165,3.68,,4.563,5.503,2.78
27.2,2.868,2.122,4.357,,8.59,7.138,3.642,,4.597,5.722,3.148
27.3,2.875,2.04,4.575,,8.609,6.642,5.054,,4.139,5.131,2.932
