Activity_ID,Quality,source,CID,SMILES,,,,,doc_id,Year,all_years,type_IC50,type_EC50,type_KD,type_Ki,pchembl_value,pchembl_value_Mean,pchembl_value_Median
FMPYUZLCKYTCDZ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.370502,CN1c2c(cccc2)C(n2nnc3ccccc32)c2c1cccc2,,,,,PMID:28986116,2017,2017,0,0,0,1,5.19,5.19,5.19
FOOKSOTZDZCFMB_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200711,COc1ccc(C(=O)NC2CCN(Cc3c(F)cccc3Cl)CC2)cc1OC,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,7.26,7.26,7.26
FSMNWAVSUPWFJU_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.364460,CCCCN(CC(=O)NCc1ccccc1)C(=O)CCCCCn1cc[n+](C)c1C=NO,,,,,PMID:29091431,2017,2017,0,0,1,0,4.1,4.1,4.1
FTRZTHFGTILUPE_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.259236,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(Cl)c(N)c1,,,,,PMID:25793650,2015,2019,0,0,0,1,7.8,7.8,7.8
FVUVHWPNLPHERN_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.177057,COc1c(O)cc(C2CC(=O)c3c(cc(O)c(CC=C(C)CCC=C(C)C)c3O)O2)cc1,,,,,PMID:22445674,2012,2012,0,0,0,1,4.03,4.03,4.03
FWOCRPGNZYJWBL_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40890,CN1C(=O)Cc2c1cc1c(CCC3CCN(Cc4ccccc4)CC3)noc1c2,,,,,PMID:15481986,2004,2004,0,0,0,1,9.32,9.32,9.32
FYEQJLDNQJUZMM_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.398663,COc1c(OC)cc2c(O)cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)nc2c1,,,,,PMID:30025348,2018,2018,0,0,0,1,7.22,7.22,7.22
GCIVIYYHFXJQEK_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40900,COc1c(OC)cc2sc(C3CC[N+](C)(Cc4ccccc4)CC3O)cc2c1,,,,,PMID:15481986,2004,2004,0,0,0,1,4.71,4.71,4.71
GDDBSWQWOFNCSG_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40889,O=C1Cc2c(cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3c2)N1,,,,,PMID:7636841,1995,2004,0,0,0,1,9.02,9.02,9.02
GDQXJMLXEYSICD_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200547,CC(C)=CC1Oc2c(ccc(O)c2)-c2c1c(=O)c1c(o2)c2c(cc1O)OC(C)(C)C=C2,,,,,DOI:10.1007/s00044-012-0353-y,2013,2013,0,0,0,1,5.51,5.51,5.51
