Wild,,,Trp86Ala,,,Trp286Ala,
,,,,,,ligand_4661_log,-11.4
,,,,,,ligand_4691_log,-12
,,,,,,ligand_4701_log,-11
,,,,,,ligand_4711_log,-11.7
,,,,,,ligand_4731_log,-11
,,,,,,ligand_4751_log,-12
,,,,,,ligand_4761_log,-11
,,,,,,ligand_4801_log,-12
,,,,,,ligand_481_log,-12
,,,,,,ligand_4841_log,-11
,,,,,,ligand_4871_log,-10.8
,,,,,,ligand_4891_log,-11.4
,,,,,,ligand_4901_log,-11.4
,,,,,,ligand_491_log,-12.3
,,,,,,ligand_4921_log,-11.1
,,,,,,ligand_4931_log,-11.6
,,,,,,ligand_4941_log,-11
,,,,,,ligand_5021_log,-10.8
,,,,,,ligand_5041_log,-12.1
,,,,,,ligand_5061_log,-10.8
,,,,,,ligand_5071_log,-11.9
,,,,,,ligand_5101_log,-10.8
,,,,,,ligand_511_log,-10.9
,,,,,,ligand_5111_log,-11.4
,,,,,,ligand_5171_log,-11.9
,,,,,,ligand_521_log,-11.8
,,,,,,ligand_531_log,-12
,,,,,,ligand_551_log,-10.9
,,,,,,ligand_561_log,-11.2
,,,,,,ligand_591_log,-10.8
,,,,,,ligand_601_log,-11.2
,,,,,,ligand_61_log,-11.4
,,,,,,ligand_611_log,-11
,,,,,,ligand_631_log,-10.8
,,,,,,ligand_641_log,-11.6
,,,,,,ligand_651_log,-12.9
,,,,,,ligand_661_log,-11.4
,,,,,,ligand_671_log,-10.9
,,,,,,ligand_681_log,-11
,,,,,,ligand_691_log,-12.6
,,,,,,ligand_721_log,-10.9
,,,,,,ligand_731_log,-11.1
,,,,,,ligand_741_log,-11.4
,,,,,,ligand_781_log,-11.2
,,,,,,ligand_81_log,-11.1
,,,,,,ligand_811_log,-11
,,,,,,ligand_821_log,-10.8
,,,,,,ligand_881_log,-11.3
,,,,,,ligand_91_log,-11.3
,,,,,,ligand_921_log,-11.4
,,,,,,ligand_931_log,-11.6
,,,,,,ligand_941_log,-11.6
,,,,,,ligand_961_log,-11.2
,,,,,,ligand_971_log,-10.9
,,,,,,ligand_981_log,-12.4
,,,,,,ligand_991_log,-11.9
